125 100
147	100
169	100
191	100
213	100
235	100
257	100
279	100
301	100
323	100
345	100
367	100
433	100
455	100
477	100
499	100
521	100
543	100
565	100
587	100
609	100
631	100
653	100
675	100

125 122
235	122
367	122
433	122
565	122
675	122

125 144
235	144
367	144
433	144
565	144
675	144

125 166
235	166
367	166
433	166
565	166
675	166

125	188
147	188
169	188
191	188
213	188
235	188
257	188
279	188
301	188
323	188
345	188
367	188
389	188
411	188
433	188
455	188
477	188
499	188
521	188
543	188
565	188
587	188
609	188
631	188
653	188
675	188

125 210
235	210
301	210
499 210
565	210
675	210

125 232
235	232
301	232
499 232
565	232
675	232

125	254
147	254
169	254
191	254
213	254
235	254
301	254
323	254
345	254
367	254

433	254
455	254
477	254
499	254
565	254
587	254
609	254
631	254
653	254
675	254

235	276
565	276

235	298
565	298

235	320
565	320

235	342
565	342

235	364
565	364

235	386
565	386

235	408
565	408

235	430
565	430

235	452
565	452

235	474
565	474

235	496
565	496

125	518
147	518
169	518
191	518
213	518
235	518
257	518
279	518
301	518
323	518
345	518
367	518
433	518
455	518
477	518
499	518
521	518
543	518
565	518
587	518
609	518
631	518
653	518
675	518

125 540
235	540
367 540
433 540
565	540
675	540

125 562
235	562
367 562
433 562
565	562
675	562

125	584
147	584
169	584
235	584
257	584
279	584
301	584
323	584
345	584
367	584
433	584
455	584
477	584
499	584
521	584
543	584
565	584
631	584
653	584
675	584

169	606
235	606
301	606
499	606
565	606
631	606

169	628
235	628
301	628
499	628
565	628
631	628

125	650
147	650
169	650
191	650
213	650
235	650
301	650
323	650
345	650
367	650
433	650
455	650
477	650
499	650
565	650
587	650
609	650
631	650
653	650
675	650

125	672
367	672
433	672
675	672

125	694
367	694
433	694
675	694

125	716
147	716
169	716
191	716
213	716
235	716
257	716
279	716
301	716
323	716
345	716
367	716
389	716
411	716
433	716
455	716
477	716
499	716
521	716
543	716
565	716
587	716
609	716
631	716
653	716
675	716
